month,original,trend,seasonal,residual
2020-10,109.0,121.29850822451428,-11.594120146824608,-0.7043880776896714
2020-11,125.0,124.23939829537836,4.5861109465673024,-3.8255092419456673
2020-12,139.0,127.13781334634719,10.168825912319885,1.6933607413329383
2021-01,118.0,130.00116774144593,-8.295653626655598,-3.7055141147903328
2021-02,106.0,132.85720457537434,-1.777683746125589,-25.07952082924875
2021-03,130.0,135.73646984938318,-6.557925391418166,0.8214555420349825
2021-04,147.0,138.61277283424144,5.419796748390647,2.967430417367922
2021-05,140.0,141.47017568597533,-0.6934698967053148,-0.7767057892700109
2021-06,134.0,144.30047831495486,-11.218068744374289,0.9175904294194197
2021-07,143.0,147.065034709968,0.28533890970010556,-4.35037361966809
2021-08,159.0,149.74528748407374,6.888761108051877,2.365951407874377
2021-09,131.0,152.4082444891692,10.607574061191487,-32.01581855036068
2021-10,153.0,155.18982234435725,-12.083315462362414,9.893493118005154
2021-11,188.0,158.12125675769414,11.678885042792498,18.199858199513358
2021-12,176.0,161.21620405058906,14.805365518440116,-0.02156956902916818
2022-01,148.0,164.4210762077486,-11.568319291755257,-4.8527569159933535
2022-02,135.0,167.65259901194082,-5.86980452812695,-26.78279448381386
2022-03,187.0,170.873856805777,-11.602323670806971,27.728466865029986
2022-04,174.0,174.0819057059088,5.064104145853813,-5.146009851762614
2022-05,185.0,177.2866380175655,-6.840251792046923,14.55361377448142
2022-06,175.0,180.51401974339697,-3.0514314335200785,-2.4625883098769066
2022-07,198.0,183.73613757843785,7.910600164187752,6.353262257374411
2022-08,207.0,186.88884801378805,2.293053640734485,17.818098345477466
2022-09,207.0,189.9044049583326,12.937374392889437,4.158220648777956
2022-10,181.0,192.6774076974663,-13.318171760888365,1.6407640634220684
2022-11,221.0,195.07165006598706,18.08060739708964,7.847742536923306
2022-12,240.0,197.1035850422248,9.625785581109247,33.27062937666594
2023-01,195.0,198.9122848479486,-10.654964615238665,6.7426797672900705
2023-02,189.0,200.54783786620956,-11.70362844587655,0.15579057966698429
2023-03,214.0,201.96961170036124,-14.836323449898476,26.866711749537245
2023-04,210.0,203.20058612212225,4.397000726239136,2.4024131516386262
2023-05,198.0,204.2314838428734,-13.958672006870843,7.727188163997454
2023-06,214.0,205.1088815089368,11.049413386912457,-2.1582948958492523
2023-07,221.0,205.84443587218553,20.530370154214157,-5.374806026399682
2023-08,201.0,206.41676567181017,-1.4307771391848845,-3.985988532625271
2023-09,219.0,206.8810372187443,7.4547094057725065,4.6642533754831845
2023-10,191.0,207.31037868356097,-15.743588173261134,-0.5667905102998247
2023-11,227.0,207.7247740007119,9.913404913391298,9.361821085896793
2023-12,257.0,208.13719989655797,8.919114067516041,39.94368603592599
2024-01,181.0,208.5512789716274,-10.476570361313414,-17.07470861031399
2024-02,204.0,208.9097359610425,-7.795780183091788,2.886044222049293
2024-03,189.0,208.95414530157856,-16.778548041202825,-3.1755972603757243
2024-04,222.0,208.57498030562056,3.771919115696204,9.65310057868325
2024-05,187.0,208.00469710076487,-20.545761767113124,-0.45893533365173766
2024-06,204.0,207.3743838572325,25.496855537653634,-28.871239394886118
2024-07,218.0,206.6472552936786,32.504726245968826,-21.15198153964741
2024-08,205.0,205.8123606078791,-5.683108080464536,4.870747472585435
2024-09,187.0,204.90208208768297,0.978722606415237,-18.880804694098202
2024-10,210.0,203.99826161231348,-18.46291359276656,24.464651980453084
2024-11,241.0,203.10858713433709,4.061097212813272,33.830315652849634
2024-12,206.0,202.19487441545337,7.810644646129359,-4.005519061582731
2025-01,192.0,201.16824931466002,-10.085718499124475,0.9174691844644656
2025-02,197.0,199.9789000922509,-5.976059277734541,2.997159185483639
2025-03,181.0,198.69795009746662,-17.464507354186885,-0.23344274327973835
2025-04,199.0,197.37196224345323,3.303400408758471,-1.675362652211703
2025-05,168.0,196.0683471352301,-27.406384492219807,-0.6619626430102983
2025-06,237.0,194.7677953117267,40.28817224466707,1.9440324436062326
2025-07,240.0,193.4752310269111,44.67519285613335,1.8495761169555465
2025-08,182.0,192.18694595524806,-9.589930104007578,-0.5970158512404851
2025-09,183.0,190.89899746918488,-6.17886669624229,-1.720130772942582
2025-10,169.0,189.60946318033263,-21.109131337803337,0.49966815747072246
2025-11,183.0,188.3180295848368,-3.1894426669911176,-2.128586917845695
2025-12,197.0,187.02490579965433,6.783677223367067,3.191416976978587
2026-01,175.0,185.73088533398334,-9.833156764957467,-0.8977285690258725
2026-02,178.0,184.43582028664173,-4.275346611978851,-2.1604736746628816
2026-03,168.0,183.1400279665777,-16.974803915451194,1.8347759488734994
